work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,work_setting,company_location,company_size,job_category,annual_taxes
2023,Senior,Full-time,Machine Learning Engineer,176000,USD,176000,United States,In-person,United States,M,Machine Learning and AI,34329.57805186353
2023,Senior,Full-time,Data Operations Engineer,125000,USD,125000,United States,In-person,United States,M,Data Quality and Operations,22542.460596267236
2023,Senior,Full-time,Data Operations Engineer,65000,USD,65000,United States,In-person,United States,M,Data Quality and Operations,11380.177866379427
2023,Mid-level,Full-time,Data Scientist,230000,USD,230000,United States,In-person,United States,M,Data Science and Research,39554.5326849976
2023,Mid-level,Full-time,Data Scientist,175000,USD,175000,United States,In-person,United States,M,Data Science and Research,26808.64765243974
2023,Mid-level,Full-time,Data Engineer,130000,USD,130000,United States,Remote,United States,M,Data Engineering,23947.949867705935
2023,Mid-level,Full-time,Data Engineer,100000,USD,100000,United States,Remote,United States,M,Data Engineering,19624.244264001813
2023,Senior,Full-time,Applied Scientist,252990,USD,252990,United States,Remote,United States,M,Data Science and Research,50476.018444104775
2023,Senior,Full-time,Applied Scientist,162170,USD,162170,United States,Remote,United States,M,Data Science and Research,28420.499328203146
2023,Mid-level,Full-time,Data Engineer,183000,USD,183000,Canada,Remote,Canada,M,Data Engineering,38226.84463667878
2023,Mid-level,Full-time,Data Engineer,122000,USD,122000,Canada,Remote,Canada,M,Data Engineering,27929.449448272622
2023,Senior,Full-time,Machine Learning Engineer,253000,USD,253000,United States,Remote,United States,M,Machine Learning and AI,47421.94645317391
2023,Senior,Full-time,Machine Learning Engineer,172040,USD,172040,United States,Remote,United States,M,Machine Learning and AI,34637.72065547703
2023,Senior,Full-time,Data Scientist,310270,USD,310270,United States,In-person,United States,M,Data Science and Research,66310.38157056346
2023,Senior,Full-time,Data Scientist,239080,USD,239080,United States,In-person,United States,M,Data Science and Research,56674.90364271655
2023,Senior,Full-time,Data Analyst,85000,USD,85000,United States,Remote,United States,M,Data Analysis,19688.875083104598
2023,Senior,Full-time,Data Analyst,70000,USD,70000,United States,Remote,United States,M,Data Analysis,14132.142978900063
2023,Mid-level,Full-time,Data Engineer,135000,USD,135000,United States,Remote,United States,M,Data Engineering,25199.652065948027
2023,Mid-level,Full-time,Data Engineer,125000,USD,125000,United States,Remote,United States,M,Data Engineering,26665.11213187285
2023,Senior,Full-time,Applied Scientist,253000,USD,253000,United States,Remote,United States,M,Data Science and Research,53292.11615782885
2023,Senior,Full-time,Applied Scientist,172040,USD,172040,United States,Remote,United States,M,Data Science and Research,30792.38052489062
2023,Mid-level,Full-time,Data Engineer,135000,USD,135000,United States,In-person,United States,M,Data Engineering,25571.919929620668
2023,Mid-level,Full-time,Data Engineer,108000,USD,108000,United States,In-person,United States,M,Data Engineering,17325.373409881457
2023,Senior,Full-time,Data Engineer,225500,USD,225500,United States,In-person,United States,M,Data Engineering,44677.63579281354
2023,Senior,Full-time,Data Engineer,139400,USD,139400,United States,In-person,United States,M,Data Engineering,26336.261657604446
2023,Senior,Full-time,Machine Learning Manager,120000,EUR,129562,Germany,Remote,United States,L,Machine Learning and AI,26321.199087109082
2023,Entry-level,Full-time,BI Data Analyst,50000,USD,50000,Kenya,Remote,Kenya,S,Data Analysis,10371.436450254663
2023,Senior,Full-time,AI Engineer,227850,USD,227850,United States,Remote,United States,M,Machine Learning and AI,47637.24058786714
2023,Senior,Full-time,AI Engineer,180500,USD,180500,United States,Remote,United States,M,Machine Learning and AI,40201.73146669087
2023,Mid-level,Full-time,Data Analyst,90000,USD,90000,United States,In-person,United States,M,Data Analysis,18742.960414034405
2023,Mid-level,Full-time,Data Analyst,70000,USD,70000,United States,In-person,United States,M,Data Analysis,14104.449541780205
2023,Senior,Full-time,Data Engineer,199000,USD,199000,United States,Remote,United States,M,Data Engineering,45662.247874983565
2023,Senior,Full-time,Data Engineer,159000,USD,159000,United States,Remote,United States,M,Data Engineering,31634.037521571267
2023,Senior,Full-time,Data Lead,350000,USD,350000,United States,In-person,United States,M,Leadership and Management,67666.18972503922
2023,Senior,Full-time,Data Lead,80000,USD,80000,United States,In-person,United States,M,Leadership and Management,15640.043271766066
2023,Senior,Full-time,Machine Learning Engineer,240000,USD,240000,United Kingdom,In-person,United Kingdom,M,Machine Learning and AI,45513.94068749939
2023,Senior,Full-time,Machine Learning Engineer,160000,USD,160000,United Kingdom,In-person,United Kingdom,M,Machine Learning and AI,28650.7686260624
2023,Senior,Full-time,Data Engineer,145000,USD,145000,United States,In-person,United States,M,Data Engineering,31856.110924563538
2023,Senior,Full-time,Data Engineer,115000,USD,115000,United States,In-person,United States,M,Data Engineering,22771.279344580755
2023,Mid-level,Full-time,Data Analyst,107500,USD,107500,United States,In-person,United States,M,Data Analysis,25245.01808934631
2023,Mid-level,Full-time,Data Analyst,96750,USD,96750,United States,In-person,United States,M,Data Analysis,21539.156847416158
2023,Senior,Full-time,Machine Learning Engineer,174000,USD,174000,United States,In-person,United States,M,Machine Learning and AI,40239.4731300742
2023,Senior,Full-time,Machine Learning Engineer,104000,USD,104000,United States,In-person,United States,M,Machine Learning and AI,18594.76820137884
2023,Senior,Full-time,ML Engineer,275300,USD,275300,United States,Remote,United States,M,Machine Learning and AI,64238.11939840631
2023,Senior,Full-time,ML Engineer,183500,USD,183500,United States,Remote,United States,M,Machine Learning and AI,31272.14354373765
2023,Senior,Full-time,Data Scientist,250000,USD,250000,United States,In-person,United States,M,Data Science and Research,40471.147549349196
2023,Senior,Full-time,Data Scientist,225000,USD,225000,United States,In-person,United States,M,Data Science and Research,46598.729232608566
2023,Senior,Full-time,Data Engineer,174350,USD,174350,United States,In-person,United States,M,Data Engineering,32273.146024166723
2023,Senior,Full-time,Data Engineer,126800,USD,126800,United States,In-person,United States,M,Data Engineering,25691.394163568748
2023,Senior,Full-time,Machine Learning Engineer,284050,USD,284050,United States,In-person,United States,M,Machine Learning and AI,62086.15403566664
2023,Senior,Full-time,Machine Learning Engineer,193800,USD,193800,United States,In-person,United States,M,Machine Learning and AI,38336.53130528744
2023,Senior,Full-time,Data Engineer,300000,USD,300000,United States,In-person,United States,M,Data Engineering,62147.58432102252
2023,Senior,Full-time,Data Engineer,200000,USD,200000,United States,In-person,United States,M,Data Engineering,40248.217846015534
2023,Senior,Full-time,Data Engineer,232989,USD,232989,United States,Remote,United States,M,Data Engineering,50950.63768768506
2023,Senior,Full-time,Data Engineer,140000,USD,140000,United States,Remote,United States,M,Data Engineering,24299.124510187183
2023,Entry-level,Full-time,BI Data Analyst,85000,USD,85000,Canada,Remote,United States,M,Data Analysis,16679.066019637885
2023,Senior,Full-time,Machine Learning Engineer,204500,USD,204500,United States,In-person,United States,M,Machine Learning and AI,43129.0605313919
2023,Senior,Full-time,Machine Learning Engineer,142200,USD,142200,United States,In-person,United States,M,Machine Learning and AI,31837.48032476649
2023,Senior,Full-time,Data Engineer,147100,USD,147100,United States,In-person,United States,M,Data Engineering,29759.94214748855
2023,Senior,Full-time,Data Engineer,90700,USD,90700,United States,In-person,United States,M,Data Engineering,18111.577971196664
2023,Senior,Full-time,Data Analyst,140000,USD,140000,United States,Remote,United States,M,Data Analysis,28229.092344643806
2023,Senior,Full-time,Data Analyst,95000,USD,95000,United States,Remote,United States,M,Data Analysis,19594.353103436588
2023,Senior,Full-time,Data Analyst,204500,USD,204500,United States,In-person,United States,M,Data Analysis,38783.09904162967
2023,Senior,Full-time,Data Analyst,138900,USD,138900,United States,In-person,United States,M,Data Analysis,25142.758753627055
2023,Senior,Full-time,Data Modeler,168400,USD,168400,United States,In-person,United States,M,Data Architecture and Modeling,31992.90375276418
2023,Senior,Full-time,Data Modeler,105200,USD,105200,United States,In-person,United States,M,Data Architecture and Modeling,21793.641840580534
2023,Senior,Full-time,Research Scientist,205500,USD,205500,United States,In-person,United States,M,Data Science and Research,38257.25777647583
2023,Senior,Full-time,Research Scientist,132500,USD,132500,United States,In-person,United States,M,Data Science and Research,28377.810084658555
2023,Senior,Full-time,Data Scientist,147100,USD,147100,United States,In-person,United States,M,Data Science and Research,32984.7104069202
2023,Senior,Full-time,Data Scientist,90700,USD,90700,United States,In-person,United States,M,Data Science and Research,17080.67681679903
2023,Senior,Full-time,Machine Learning Engineer,247500,USD,247500,United States,In-person,United States,M,Machine Learning and AI,48993.48200218433
2023,Senior,Full-time,Machine Learning Engineer,172200,USD,172200,United States,In-person,United States,M,Machine Learning and AI,33051.512466908454
2023,Senior,Full-time,Data Analyst,192000,USD,192000,United States,Remote,United States,M,Data Analysis,38102.13217873563
2023,Senior,Full-time,Data Analyst,138240,USD,138240,United States,Remote,United States,M,Data Analysis,27339.376648830745
2023,Senior,Full-time,Data Engineer,168400,USD,168400,United States,In-person,United States,M,Data Engineering,35556.38942536599
2023,Senior,Full-time,Data Engineer,105200,USD,105200,United States,In-person,United States,M,Data Engineering,22415.220704989773
2023,Senior,Full-time,Analytics Engineer,150550,USD,150550,United States,Remote,United States,M,Leadership and Management,30463.838832762973
2023,Senior,Full-time,Analytics Engineer,116710,USD,116710,United States,Remote,United States,M,Leadership and Management,20478.880826441065
2023,Senior,Full-time,Data Scientist,180000,USD,180000,United States,In-person,United States,M,Data Science and Research,37024.51893135671
2023,Senior,Full-time,Data Scientist,162000,USD,162000,United States,In-person,United States,M,Data Science and Research,31317.210849785195
2023,Senior,Full-time,Machine Learning Engineer,226600,USD,226600,United States,In-person,United States,M,Machine Learning and AI,41225.460915116564
2023,Senior,Full-time,Machine Learning Engineer,140100,USD,140100,United States,In-person,United States,M,Machine Learning and AI,29089.262113668145
2023,Senior,Full-time,Data Visualization Engineer,147100,USD,147100,United States,In-person,United States,M,BI and Visualization,29266.78186878813
2023,Senior,Full-time,Data Visualization Engineer,90700,USD,90700,United States,In-person,United States,M,BI and Visualization,20605.279789179036
2023,Senior,Full-time,Research Scientist,175000,USD,175000,United States,In-person,United States,M,Data Science and Research,35840.692189066875
2023,Senior,Full-time,Research Scientist,120000,USD,120000,United States,In-person,United States,M,Data Science and Research,22775.1831077741
2023,Senior,Full-time,Data Architect,147100,USD,147100,United States,In-person,United States,M,Data Architecture and Modeling,33550.535161345695
2023,Senior,Full-time,Data Architect,90700,USD,90700,United States,In-person,United States,M,Data Architecture and Modeling,19971.960601991297
2023,Senior,Full-time,Data Modeler,168400,USD,168400,United States,In-person,United States,M,Data Architecture and Modeling,32103.08650554958
2023,Senior,Full-time,Data Modeler,105200,USD,105200,United States,In-person,United States,M,Data Architecture and Modeling,20639.577461960256
2023,Senior,Full-time,Analytics Engineer,125000,USD,125000,United States,Remote,United States,M,Leadership and Management,25568.92780045715
2023,Senior,Full-time,Analytics Engineer,100000,USD,100000,United States,Remote,United States,M,Leadership and Management,20659.341591025237
2023,Senior,Full-time,Research Scientist,198800,USD,198800,United States,In-person,United States,M,Data Science and Research,44984.20477676936
2023,Senior,Full-time,Research Scientist,105200,USD,105200,United States,In-person,United States,M,Data Science and Research,21785.91995994921
2023,Mid-level,Full-time,Data Manager,115500,USD,115500,United States,In-person,United States,M,Leadership and Management,26970.824925829664
2023,Mid-level,Full-time,Data Manager,73500,USD,73500,United States,In-person,United States,M,Leadership and Management,14023.953582333923
2023,Senior,Full-time,Data Engineer,150600,USD,150600,United Kingdom,Remote,United Kingdom,M,Data Engineering,30411.77119559069
2023,Senior,Full-time,Data Engineer,120500,USD,120500,United Kingdom,Remote,United Kingdom,M,Data Engineering,26271.91202685089
2023,Senior,Full-time,Data Engineer,183000,USD,183000,United States,In-person,United States,M,Data Engineering,34356.66544789299
2023,Senior,Full-time,Data Engineer,140000,USD,140000,United States,In-person,United States,M,Data Engineering,29570.124458344544
2023,Executive,Full-time,Business Intelligence Developer,167500,USD,167500,United States,In-person,United States,M,BI and Visualization,39386.139183748906
2023,Executive,Full-time,Business Intelligence Developer,106500,USD,106500,United States,In-person,United States,M,BI and Visualization,22759.0066473625
2023,Senior,Full-time,Analytics Engineer,175000,USD,175000,United States,Remote,United States,M,Leadership and Management,34345.92621894868
2023,Senior,Full-time,Analytics Engineer,125000,USD,125000,United States,Remote,United States,M,Leadership and Management,23974.256605948984
2023,Senior,Full-time,Machine Learning Engineer,239000,USD,239000,Canada,Remote,Canada,M,Machine Learning and AI,40895.8924936233
2023,Senior,Full-time,Machine Learning Engineer,149000,USD,149000,Canada,Remote,Canada,M,Machine Learning and AI,29644.26967818677
2023,Mid-level,Full-time,BI Developer,128000,USD,128000,United States,In-person,United States,M,BI and Visualization,31347.250736573278
2023,Mid-level,Full-time,BI Developer,81500,USD,81500,United States,In-person,United States,M,BI and Visualization,16593.17447055352
2023,Senior,Full-time,Data Scientist,185000,USD,185000,United States,In-person,United States,M,Data Science and Research,39792.99134963564
2023,Senior,Full-time,Data Scientist,122000,USD,122000,United States,In-person,United States,M,Data Science and Research,27292.875272326273
2023,Senior,Full-time,Business Intelligence Engineer,202800,USD,202800,United States,In-person,United States,L,BI and Visualization,41713.27029760408
2023,Senior,Full-time,Business Intelligence Engineer,104300,USD,104300,United States,In-person,United States,L,BI and Visualization,20003.195004064775
2023,Mid-level,Full-time,Data Engineer,181500,USD,181500,United States,In-person,United States,M,Data Engineering,37884.257282250175
2023,Mid-level,Full-time,Data Engineer,127000,USD,127000,United States,In-person,United States,M,Data Engineering,28598.08807879785
2023,Mid-level,Full-time,Data Specialist,186000,USD,186000,United States,In-person,United States,M,Data Management and Strategy,36060.097742557744
2023,Mid-level,Full-time,Data Specialist,138000,USD,138000,United States,In-person,United States,M,Data Management and Strategy,29545.20994322074
2023,Mid-level,Full-time,Data Scientist,185000,USD,185000,United States,In-person,United States,M,Data Science and Research,38778.16469549556
2023,Mid-level,Full-time,Data Scientist,122000,USD,122000,United States,In-person,United States,M,Data Science and Research,23978.93377974104
2023,Senior,Full-time,Research Engineer,196000,USD,196000,United States,In-person,United States,M,Data Science and Research,35058.958890272326
2023,Senior,Full-time,Research Engineer,142600,USD,142600,United States,In-person,United States,M,Data Science and Research,31431.435168664037
2023,Senior,Full-time,Data Scientist,205000,USD,205000,United States,Remote,United States,M,Data Science and Research,44799.778720068025
2023,Senior,Full-time,Data Scientist,150000,USD,150000,United States,Remote,United States,M,Data Science and Research,30567.52665838534
2023,Senior,Full-time,Business Intelligence Analyst,140000,USD,140000,Canada,In-person,Canada,M,BI and Visualization,26929.834224406415
2023,Senior,Full-time,Business Intelligence Analyst,112000,USD,112000,Canada,In-person,Canada,M,BI and Visualization,19080.889043357063
2023,Senior,Full-time,Data Analyst,139000,USD,139000,United States,In-person,United States,M,Data Analysis,31241.50938361644
2023,Senior,Full-time,Data Analyst,85700,USD,85700,United States,In-person,United States,M,Data Analysis,14438.311384948032
2023,Senior,Full-time,Lead Data Scientist,36000,USD,36000,Russian Federation,Remote,Russian Federation,L,Data Science and Research,6564.883544664719
2023,Senior,Full-time,Data Engineer,130000,USD,130000,United States,In-person,United States,M,Data Engineering,30480.506194943806
2023,Senior,Full-time,Data Engineer,91270,USD,91270,United States,In-person,United States,M,Data Engineering,17221.77043436597
2023,Senior,Full-time,Data Scientist,226600,USD,226600,United States,In-person,United States,M,Data Science and Research,45020.76790756185
2023,Senior,Full-time,Data Scientist,140100,USD,140100,United States,In-person,United States,M,Data Science and Research,24746.745375246992
2023,Senior,Full-time,Business Intelligence Engineer,225000,USD,225000,United States,In-person,United States,M,BI and Visualization,42017.193762191615
2023,Senior,Full-time,Business Intelligence Engineer,156400,USD,156400,United States,In-person,United States,M,BI and Visualization,33695.59356756975
2023,Mid-level,Full-time,Applied Scientist,222200,USD,222200,United States,In-person,United States,L,Data Science and Research,45598.652313213635
2023,Mid-level,Full-time,Applied Scientist,136000,USD,136000,United States,In-person,United States,L,Data Science and Research,33190.250493172294
2023,Senior,Full-time,Data Architect,180000,USD,180000,United States,In-person,United States,M,Data Architecture and Modeling,33232.26046521368
2023,Senior,Full-time,Data Architect,165000,USD,165000,United States,In-person,United States,M,Data Architecture and Modeling,33011.13262850277
2023,Executive,Full-time,Director of Data Science,247000,USD,247000,United States,Remote,United States,M,Data Science and Research,48820.408734546865
2023,Executive,Full-time,Director of Data Science,118440,USD,118440,United States,Remote,United States,M,Data Science and Research,21523.66304003331
2023,Senior,Full-time,Data Manager,145000,USD,145000,United States,In-person,United States,M,Leadership and Management,29947.583867554014
2023,Senior,Full-time,Data Manager,130000,USD,130000,United States,In-person,United States,M,Leadership and Management,25625.329026458883
2023,Mid-level,Full-time,Data Scientist,204500,USD,204500,United States,In-person,United States,M,Data Science and Research,35900.31716393686
2023,Mid-level,Full-time,Data Scientist,138900,USD,138900,United States,In-person,United States,M,Data Science and Research,30234.319538955075
2023,Senior,Full-time,ML Engineer,297300,USD,297300,United States,Remote,United States,M,Machine Learning and AI,55542.51424621496
2023,Senior,Full-time,ML Engineer,198200,USD,198200,United States,Remote,United States,M,Machine Learning and AI,38748.87490285162
2023,Mid-level,Full-time,Data Scientist,172200,USD,172200,United States,Remote,United States,M,Data Science and Research,31638.008520783394
2023,Mid-level,Full-time,Data Scientist,131200,USD,131200,United States,Remote,United States,M,Data Science and Research,23291.355898967307
2023,Mid-level,Full-time,Data Scientist,90000,GBP,110736,United Kingdom,Remote,United Kingdom,M,Data Science and Research,19787.341008301544
2023,Mid-level,Full-time,Data Scientist,70000,GBP,86128,United Kingdom,Remote,United Kingdom,M,Data Science and Research,18021.267967894888
2023,Senior,Full-time,Business Intelligence Engineer,204500,USD,204500,United States,Remote,United States,M,BI and Visualization,37830.89176667256
2023,Senior,Full-time,Business Intelligence Engineer,138900,USD,138900,United States,Remote,United States,M,BI and Visualization,28746.013234809718
2023,Mid-level,Full-time,Data Specialist,87500,USD,87500,United States,Remote,United States,M,Data Management and Strategy,17964.749261966856
2023,Mid-level,Full-time,Data Specialist,62500,USD,62500,United States,Remote,United States,M,Data Management and Strategy,13534.79237028469
2023,Senior,Full-time,Data Scientist,244000,USD,244000,Canada,In-person,Canada,M,Data Science and Research,42519.53144175231
2023,Senior,Full-time,Data Scientist,157000,USD,157000,Canada,In-person,Canada,M,Data Science and Research,32401.112576998825
2023,Senior,Full-time,Data Engineer,157550,USD,157550,United States,In-person,United States,M,Data Engineering,28811.930499552942
2023,Senior,Full-time,Data Engineer,104650,USD,104650,United States,In-person,United States,M,Data Engineering,22565.459276045436
2023,Senior,Full-time,Research Scientist,136000,USD,136000,United States,Remote,United States,M,Data Science and Research,28874.039544351213
2023,Senior,Full-time,Research Scientist,90600,USD,90600,United States,Remote,United States,M,Data Science and Research,19311.518371306287
2023,Entry-level,Full-time,Data Engineer,40000,GBP,49216,United Kingdom,Remote,United Kingdom,M,Data Engineering,10020.086007200396
